species	release	version	kingdom	animals_ensembl_release	
homo_sapiens	105	38	animals	105	
mus_musculus	105	39	animals	105	
sus_scrofa	105	111	animals	105	
gallus_gallus	105	6	animals	105	
drosophila_melanogaster	105	9	animals	105	
arabidopsis_thaliana	52	11	plants	105	
oryza_sativa	52	7	plants	105	
glycine_max	52	4	plants	105	
phaseolus_vulgaris	52	1	plants	105	
medicago_truncatula	52	2	plants	105	
nicotiana_attenuata	52	1	plants	105	
brachypodium_distachyon	52	4	plants	105	
zea_mays	52	8	plants	105	
bacteria_0_collection	52	1	bacteria	105	escherichia_coli
dictyostelium_discoideum	52	1	protists	105	
saccharomyces_cerevisiae	52	4	fungi	105	
schizosaccharomyces_pombe	52	2	fungi	105	
chlamydomonas_reinhardtii	52	3	plants	105	
physcomitrium_patens	52	2	plants	105	
populus_trichocarpa	52	3	plants	105	
caenorhabditis_elegans	105	269	animals	105	
danio_rerio	105	11	animals	105	
xenopus_tropicalis	105	91	animals	105	
selaginella_moellendorffii	52	1	plants	105	
marchantia_polymorpha	52	1	plants	105	
populus_trichocarpa	52	3	plants	105	
cavia_porcellus	105	4	animals	105	
rattus_norvegicus	105	72	animals	105	
macaca_mulatta	105	10	animals	105	
canis_lupus_familiaris	105	1	animals	105	
felis_catus	105	9	animals	105	
